Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T
4;A;0.210647;19.8877;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.210469;27.2613;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.36597;9.94115;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.35514;14.9472;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.36179;20.0392;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.364988;27.6938;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.610539;10.1672;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.615839;15.1801;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.609478;20.3399;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
4;A;0.603215;26.8356;0.0258;0;-1;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0289443;0.0853279;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0286589;0.136519;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0292179;0.234124;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0292117;0.450681;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0289222;0.8879;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0286355;1.76285;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0289108;2.99993;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0291886;4.95041;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0595544;0.0845045;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0589626;0.133202;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0589439;0.233894;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0589238;0.436899;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.058902;0.881311;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0594572;1.751;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
